location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Finland,1/29/20,1,1,,,,,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,1/30/20,1,0,,,,,0.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,1/31/20,1,0,,,,,0.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/1/20,1,0,,,,,0.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/2/20,1,0,,,,,0.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/3/20,1,0,0.143,,,0,0.18,0,0.026,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/4/20,1,0,0.143,,,0,0.18,0,0.026,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/5/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/6/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/7/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/8/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/9/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/10/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/11/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/12/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/13/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/14/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/15/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
Finland,2/16/20,1,0,0,,,0,0.18,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
